name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
Broadstone Bar & Kitchen,Financial District,American,$,4.2,4.1,4.1,4.1,268,Moderate,Casual Dining,40.7041146,-74.0117291,https://www.kayak.com/New-York-Restaurants-Broadstone-Bar-Kitchen.100052206.rd.ksp
Stone Street Tavern,Financial District,American,$,4.5,4.4,4.5,4.2,75,Moderate,Casual Dining,40.7042777,-74.010273,https://www.kayak.com/New-York-Restaurants-Stone-Street-Tavern.100020600.rd.ksp
Industry Kitchen,Financial District,American,$,4.5,4.3,4.4,4.5,440,Moderate,Casual Dining,40.70492095,-74.0048741,https://www.kayak.com/New-York-Restaurants-Industry-Kitchen.100008389.rd.ksp
The Ketch - NYC,Financial District,Contemporary American,$,4,3.9,3.9,3.8,534,Moderate,Casual Elegant,40.7063056,-74.0074663,https://www.kayak.com/New-York-Restaurants-The-Ketch.100028704.rd.ksp
The Tuck Room- New York,Financial District,Unspecified,$,4.2,4.1,4.1,4.4,1163,Moderate,Casual Elegant,40.7066295,-74.0031405,https://www.kayak.com/New-York-Restaurants-The-Tuck-Room-New-York.100032597.rd.ksp
FARIDA Central Asian Cuisine & Grill,Hell's Kitchen,Asian,$,4.4,4.5,4.3,4,306,Moderate,Casual Dining,40.7071242,-74.0083922,https://www.kayak.com/New-York-Restaurants-FARIDA-Central-Asian-Cuisine-Grill.100056141.rd.ksp
Il Brigante Restaurant,Financial District,Italian,$,4.5,4.5,4.3,4.2,1576,Moderate,Casual Dining,40.7073831,-74.002626,https://www.kayak.com/New-York-Restaurants-Il-Brigante-Restaurant.100020169.rd.ksp
Barbalu,Financial District,Italian,$,4.5,4.4,4.4,4.4,46,Moderate,Fine Dining,40.7074502,-74.0020779,https://www.kayak.com/New-York-Restaurants-Barbalu.100005029.rd.ksp
Kiwi Cuba,Financial District,American,$,4.7,4.2,4.7,4.4,13,Low,Casual Dining,40.7075389,-74.0018114,https://www.kayak.com/New-York-Restaurants-Kiwi-Cuba.101004673.rd.ksp
Ainsworth Fi Di,Financial District,American,$,4.1,4,3.9,4,1804,Moderate,Casual Dining,40.7077143,-74.0082787,https://www.kayak.com/New-York-Restaurants-Ainsworth-Fi-Di.100049505.rd.ksp
Blue Ribbon Federal Grill,Financial District,Contemporary American,$,4.5,4.5,4.4,4.3,2134,Moderate,Casual Dining,40.7079853,-74.0077109,https://www.kayak.com/New-York-Restaurants-Blue-Ribbon-Federal-Grill.100052705.rd.ksp
Miramar,Battery Park City,Seafood,$,4.2,4.2,4.2,4.2,745,Moderate,Casual Dining,40.7079986,-74.0179927,https://www.kayak.com/New-York-Restaurants-Miramar.100052674.rd.ksp
Acqua Restaurant NYC,Financial District,Italian,$,4.3,4.3,4.3,4.3,2145,Moderate,Casual Dining,40.7082305,-74.0016978,https://www.kayak.com/New-York-Restaurants-Acqua-Restaurant-NYC.100020539.rd.ksp
Cowgirl Seahorse,Financial District,Café,$,4.4,4.2,4.1,4.2,598,Moderate,Casual Dining,40.7082323,-74.0005339,https://www.kayak.com/New-York-Restaurants-Cowgirl-Seahorse.100030948.rd.ksp
