id,category_alias,category_title
fVbUVAiLiGgLA_nxBFxyww,korean,Korean
fVbUVAiLiGgLA_nxBFxyww,newamerican,American (New)
fVbUVAiLiGgLA_nxBFxyww,tapasmallplates,Tapas/Small Plates
MGd6HFEq1ALD58XWNviSXw,food_court,Food Court
nMyot99PkX5iYCdxHoRJqQ,korean,Korean
nMyot99PkX5iYCdxHoRJqQ,tapasmallplates,Tapas/Small Plates
nMyot99PkX5iYCdxHoRJqQ,gastropubs,Gastropubs
IA3EQ0Ilx0yI7dNYnq-YGQ,lebanese,Lebanese
IA3EQ0Ilx0yI7dNYnq-YGQ,breakfast_brunch,Breakfast & Brunch
IA3EQ0Ilx0yI7dNYnq-YGQ,sandwiches,Sandwiches
hLXe3RVRK39VUSPdvBjFEA,filipino,Filipino
FlZ1zdVEKWv7dwqm8Uw8-w,japanese,Japanese
FlZ1zdVEKWv7dwqm8Uw8-w,noodles,Noodles
WJS06XxRdc6DD1s4LWE9HA,seafood,Seafood
WJS06XxRdc6DD1s4LWE9HA,thai,Thai
WJS06XxRdc6DD1s4LWE9HA,raw_food,Live/Raw Food
9I8mZXCkGZBmFh5fYOYorw,vietnamese,Vietnamese
9I8mZXCkGZBmFh5fYOYorw,noodles,Noodles
9I8mZXCkGZBmFh5fYOYorw,sandwiches,Sandwiches
qEe7nIhPfEL6L0-VYhWRrA,japanese,Japanese
qEe7nIhPfEL6L0-VYhWRrA,noodles,Noodles
-XYp6w50XbZfS90YddS5ew,thai,Thai
-XYp6w50XbZfS90YddS5ew,noodles,Noodles
-XYp6w50XbZfS90YddS5ew,cocktailbars,Cocktail Bars
nHMDOIX32dGbfpuNUwsLNQ,italian,Italian
nHMDOIX32dGbfpuNUwsLNQ,breakfast_brunch,Breakfast & Brunch
nHMDOIX32dGbfpuNUwsLNQ,cocktailbars,Cocktail Bars
4aF0F8w7yXX9o5_QFky_ig,mediterranean,Mediterranean
4aF0F8w7yXX9o5_QFky_ig,bars,Bars
SWK0AQ5KTDDCt8AtOhhasg,newamerican,American (New)
SWK0AQ5KTDDCt8AtOhhasg,venues,Venues & Event Spaces
SWK0AQ5KTDDCt8AtOhhasg,beer_and_wine,"Beer, Wine & Spirits"
Me4TxTbPPQZQopW1wOGx5g,breakfast_brunch,Breakfast & Brunch
Me4TxTbPPQZQopW1wOGx5g,mediterranean,Mediterranean
Me4TxTbPPQZQopW1wOGx5g,newamerican,American (New)
fNKYBpQJivICm0ORb3nb_Q,korean,Korean
LpVbI-E9C-CSp7WhU5h2Iw,seafood,Seafood
LpVbI-E9C-CSp7WhU5h2Iw,divebars,Dive Bars
LpVbI-E9C-CSp7WhU5h2Iw,malaysian,Malaysian
D_f5cnBPDUueO-CCYHtwPw,chinese,Chinese
Qi7pmy2BuR5Oz2ouXa2u4A,italian,Italian
Qi7pmy2BuR5Oz2ouXa2u4A,pizza,Pizza
8SehQovJOuQDLbtzLLYLyw,tradamerican,American (Traditional)
8SehQovJOuQDLbtzLLYLyw,wine_bars,Wine Bars
AA9wpuJRhkSHUePAiv3otA,newamerican,American (New)
AA9wpuJRhkSHUePAiv3otA,cocktailbars,Cocktail Bars
c8wkoGg9UbF55k3Z74X0Qw,newamerican,American (New)
c8wkoGg9UbF55k3Z74X0Qw,bars,Bars
c8wkoGg9UbF55k3Z74X0Qw,venues,Venues & Event Spaces
y2dSu-qwp1BmLfQRn_c-1Q,cocktailbars,Cocktail Bars
y2dSu-qwp1BmLfQRn_c-1Q,mexican,Mexican
y2dSu-qwp1BmLfQRn_c-1Q,latin,Latin American
D0EV-xXaUUi35raZ_hWg-w,asianfusion,Asian Fusion
D0EV-xXaUUi35raZ_hWg-w,newamerican,American (New)
D0EV-xXaUUi35raZ_hWg-w,steak,Steakhouses
WUc3CA6S8OjH3kiqv3eFOA,korean,Korean
AudBWxeAr3zHr1ITrTcVpg,japanese,Japanese
7bpZZUpEclhn29wWVqFsKA,tapasmallplates,Tapas/Small Plates
7bpZZUpEclhn29wWVqFsKA,noodles,Noodles
eQ4QUGvuHGBzsOrphsVc6A,japanese,Japanese
eQ4QUGvuHGBzsOrphsVc6A,hotpot,Hot Pot
eQ4QUGvuHGBzsOrphsVc6A,sushi,Sushi Bars
6Ct7OeTRn4caY9g0swFBsw,mexican,Mexican
6Ct7OeTRn4caY9g0swFBsw,bars,Bars
6Ct7OeTRn4caY9g0swFBsw,breakfast_brunch,Breakfast & Brunch
lynQoI3w_pzYfHGeuUU-Qg,chinese,Chinese
e5wK3I_THzF4Ce_OgoSCQw,korean,Korean
e5wK3I_THzF4Ce_OgoSCQw,tapasmallplates,Tapas/Small Plates
e5wK3I_THzF4Ce_OgoSCQw,cocktailbars,Cocktail Bars
OCTiJwvjoK81WoDwsTkFvA,italian,Italian
OCTiJwvjoK81WoDwsTkFvA,salad,Salad
OCTiJwvjoK81WoDwsTkFvA,seafood,Seafood
qBGKigOGn_flCx1apxPzlA,italian,Italian
Vbmv3T7hr_owVic5BQXs5w,dimsum,Dim Sum
Vbmv3T7hr_owVic5BQXs5w,noodles,Noodles
CqtT8rPaSmrRClUBbqsCFA,seafood,Seafood
CqtT8rPaSmrRClUBbqsCFA,cocktailbars,Cocktail Bars
CqtT8rPaSmrRClUBbqsCFA,breakfast_brunch,Breakfast & Brunch
AybQUv47u16bwg83kqNf5w,thai,Thai
mnXrPqOVbX_06D9OAo4dLA,korean,Korean
mnXrPqOVbX_06D9OAo4dLA,bbq,Barbeque
mnXrPqOVbX_06D9OAo4dLA,desserts,Desserts
FizBsTIAJwNrImIG1mPDcg,korean,Korean
FizBsTIAJwNrImIG1mPDcg,cocktailbars,Cocktail Bars
FizBsTIAJwNrImIG1mPDcg,tapasmallplates,Tapas/Small Plates
mPHPVJ2-8mOR-lFHafrc6w,italian,Italian
S3ZAZrpakAUs8sVUb6ving,comfortfood,Comfort Food
S3ZAZrpakAUs8sVUb6ving,sandwiches,Sandwiches
S3ZAZrpakAUs8sVUb6ving,asianfusion,Asian Fusion
XgiG7K7ubHsj2JJ-c2sXnw,thai,Thai
Rj2ACaJcbroJLPDhRhzvBw,mediterranean,Mediterranean
Rj2ACaJcbroJLPDhRhzvBw,cocktailbars,Cocktail Bars
Rj2ACaJcbroJLPDhRhzvBw,breakfast_brunch,Breakfast & Brunch
8Oo2AtQEPDfxIOnA8wfXoQ,taiwanese,Taiwanese
8Oo2AtQEPDfxIOnA8wfXoQ,asianfusion,Asian Fusion
YSflX6shqcP3zYno0Zz75Q,newamerican,American (New)
YSflX6shqcP3zYno0Zz75Q,cocktailbars,Cocktail Bars
oe8GEFE4QLFAKt87y7zcgA,taiwanese,Taiwanese
oe8GEFE4QLFAKt87y7zcgA,chinese,Chinese
oe8GEFE4QLFAKt87y7zcgA,noodles,Noodles
7szsAtxOkGJ2ady3Qx7v4w,bars,Bars
7szsAtxOkGJ2ady3Qx7v4w,newamerican,American (New)
7szsAtxOkGJ2ady3Qx7v4w,gastropubs,Gastropubs
48nRODGl30EWpYMcCTOeAw,newamerican,American (New)
q1uIqB8PvyCCX8TajaRYBg,breakfast_brunch,Breakfast & Brunch
q1uIqB8PvyCCX8TajaRYBg,mediterranean,Mediterranean
pZWhRtCJvTuwWoavaiCQrA,korean,Korean
pZWhRtCJvTuwWoavaiCQrA,tapasmallplates,Tapas/Small Plates
pZWhRtCJvTuwWoavaiCQrA,southern,Southern
D_Rjd2js4_lkk51Obvlveg,breakfast_brunch,Breakfast & Brunch
D_Rjd2js4_lkk51Obvlveg,bagels,Bagels
D_Rjd2js4_lkk51Obvlveg,mideastern,Middle Eastern
__EvomQ2tE1NtkWn32WEXg,burgers,Burgers
__EvomQ2tE1NtkWn32WEXg,newamerican,American (New)
__EvomQ2tE1NtkWn32WEXg,cocktailbars,Cocktail Bars
0IFDnYf3bhqxJR6hVrG7Gw,thai,Thai
0IFDnYf3bhqxJR6hVrG7Gw,halal,Halal
0IFDnYf3bhqxJR6hVrG7Gw,cocktailbars,Cocktail Bars
OQbccovdHgjenH-sJIbFPw,newamerican,American (New)
4XX-zF8h5Lvrr22_tqU6-Q,newamerican,American (New)
4XX-zF8h5Lvrr22_tqU6-Q,wine_bars,Wine Bars
4XX-zF8h5Lvrr22_tqU6-Q,venues,Venues & Event Spaces
JQDVA6_dRpg7RlxlZmJr0w,georgian,Georgian
JQDVA6_dRpg7RlxlZmJr0w,wine_bars,Wine Bars
JQDVA6_dRpg7RlxlZmJr0w,cocktailbars,Cocktail Bars
GLf8_rOnkszkGmPAiMzO9Q,coffee,Coffee & Tea
GLf8_rOnkszkGmPAiMzO9Q,breakfast_brunch,Breakfast & Brunch
GLf8_rOnkszkGmPAiMzO9Q,sandwiches,Sandwiches
cRsIsiuoV11zX8oLY8brhQ,newamerican,American (New)
cRsIsiuoV11zX8oLY8brhQ,wine_bars,Wine Bars
-R5CBTnY10kdVNNv0lbHnA,tradamerican,American (Traditional)
FgPvSR_42MtGKy0_n055iw,cocktailbars,Cocktail Bars
FgPvSR_42MtGKy0_n055iw,burgers,Burgers
FgPvSR_42MtGKy0_n055iw,sandwiches,Sandwiches
37xSQ6l3feGBbmoqN84H3g,vietnamese,Vietnamese
37xSQ6l3feGBbmoqN84H3g,asianfusion,Asian Fusion
Orbsfc3nI21mQ8cwSPahhg,wine_bars,Wine Bars
Orbsfc3nI21mQ8cwSPahhg,newamerican,American (New)
qLJYqqj9vu0sdBJsxQKYjQ,asianfusion,Asian Fusion
qLJYqqj9vu0sdBJsxQKYjQ,cocktailbars,Cocktail Bars
qLJYqqj9vu0sdBJsxQKYjQ,lounges,Lounges
IjygKmi3dhRyBe-MV9rXFw,wine_bars,Wine Bars
IjygKmi3dhRyBe-MV9rXFw,newamerican,American (New)
IjygKmi3dhRyBe-MV9rXFw,cocktailbars,Cocktail Bars
SB4crLLqZy4RdoA3e7yDNA,coffee,Coffee & Tea
SB4crLLqZy4RdoA3e7yDNA,bakeries,Bakeries
SB4crLLqZy4RdoA3e7yDNA,sandwiches,Sandwiches
5eTSnxcWeAnFfNMThdmwNw,italian,Italian
_N92SH1Zi-Hbxn_bNHFz0Q,italian,Italian
29vdYkOQUJ8641RvABAUWA,newamerican,American (New)
QQpQujXQGbZBK6BeAokzDA,italian,Italian
QQpQujXQGbZBK6BeAokzDA,mediterranean,Mediterranean
QQpQujXQGbZBK6BeAokzDA,mideastern,Middle Eastern
E_Rxnmim6J2ECFtU0QGlsQ,cantonese,Cantonese
2ggi1luerd3Mf_C82JvCYg,pizza,Pizza
2ggi1luerd3Mf_C82JvCYg,desserts,Desserts
2ggi1luerd3Mf_C82JvCYg,beer_and_wine,"Beer, Wine & Spirits"
8bIXIStb1SVu1sXYfcMH5g,australian,Australian
8bIXIStb1SVu1sXYfcMH5g,breakfast_brunch,Breakfast & Brunch
8bIXIStb1SVu1sXYfcMH5g,burgers,Burgers
YfB7r67NbrFpuret7TTtBQ,newamerican,American (New)
LOeDR4X-YRToeo3hy_plew,seafood,Seafood
LOeDR4X-YRToeo3hy_plew,raw_food,Live/Raw Food
3gqKLANaXNsHZnPDjKrcTg,taiwanese,Taiwanese
3gqKLANaXNsHZnPDjKrcTg,newamerican,American (New)
7Qvh0oFRsoqrO9qNlcMKXQ,vietnamese,Vietnamese
7Qvh0oFRsoqrO9qNlcMKXQ,sandwiches,Sandwiches
7Qvh0oFRsoqrO9qNlcMKXQ,coffee,Coffee & Tea
HodL0fXoF08C3Ir-kLeTtw,pastashops,Pasta Shops
HodL0fXoF08C3Ir-kLeTtw,italian,Italian
HodL0fXoF08C3Ir-kLeTtw,salad,Salad
Cebmp5-kEcdb4dBPrMKkWg,thai,Thai
